Date,Open,High,Low,Close,Adj Close,Volume
2022-08-22,12450.000000,13150.000000,12450.000000,12800.000000,12800.000000,230499
2022-08-23,13200.000000,14300.000000,13000.000000,13800.000000,13800.000000,1627623
2022-08-24,14200.000000,14750.000000,14000.000000,14500.000000,14500.000000,1137062
2022-08-25,14450.000000,14750.000000,14250.000000,14700.000000,14700.000000,347065
2022-08-26,14600.000000,14650.000000,13950.000000,14100.000000,14100.000000,587557
2022-08-29,14150.000000,15700.000000,14100.000000,15550.000000,15550.000000,3431068
2022-08-30,16000.000000,16800.000000,15800.000000,16050.000000,16050.000000,2225124
2022-08-31,16050.000000,16550.000000,15900.000000,16400.000000,16400.000000,909134
2022-09-01,16000.000000,16250.000000,14900.000000,15000.000000,15000.000000,971995
2022-09-02,15100.000000,15400.000000,14850.000000,15000.000000,15000.000000,487759
2022-09-05,14950.000000,15150.000000,14550.000000,14800.000000,14800.000000,427656
2022-09-06,14800.000000,15850.000000,14700.000000,15650.000000,15650.000000,776988
2022-09-07,15400.000000,16100.000000,15200.000000,15750.000000,15750.000000,617220
2022-09-08,15950.000000,16800.000000,15550.000000,16300.000000,16300.000000,780562
2022-09-13,16650.000000,16700.000000,15650.000000,16000.000000,16000.000000,432184
2022-09-14,15550.000000,16300.000000,15450.000000,16150.000000,16150.000000,363207
2022-09-15,16250.000000,16300.000000,15300.000000,15550.000000,15550.000000,495339
2022-09-16,15350.000000,15650.000000,15150.000000,15200.000000,15200.000000,330385
2022-09-19,15200.000000,15250.000000,14450.000000,14600.000000,14600.000000,444283
2022-09-20,14900.000000,17800.000000,14850.000000,17300.000000,17300.000000,2135201
2022-09-21,16900.000000,18400.000000,16850.000000,17400.000000,17400.000000,2145887
2022-09-22,17000.000000,17650.000000,16800.000000,17500.000000,17500.000000,758265
2022-09-23,17450.000000,17800.000000,16600.000000,16600.000000,16600.000000,493048
2022-09-26,16250.000000,16850.000000,15500.000000,15800.000000,15800.000000,638573
2022-09-27,16050.000000,16200.000000,15250.000000,15850.000000,15850.000000,465580
